DTG,SSH,SST,Temp,Barometric Pressure,Residuals,Adjusted Residuals,Wind Direction,Wind Gust,Wind Speed,Niue
7/01/2020 3:00,NAN,NAN,NAN,1009,-0.038,-0.079,175,4.2,1,
7/01/2020 4:00,NAN,NAN,NAN,1009.4,-0.032,-0.074,223,3.3,0.7,
7/01/2020 5:00,NAN,NAN,NAN,1009.7,-0.051,-0.089,144,3.3,1,
7/01/2020 6:00,NAN,NAN,NAN,1010.3,-0.063,-0.098,163,2.7,1.4,
7/01/2020 7:00,NAN,NAN,NAN,1011.1,-0.064,-0.093,143,2.8,1.6,
7/01/2020 8:00,NAN,NAN,NAN,1011.6,-0.07,-0.091,81,3.1,1.2,
7/01/2020 9:00,NAN,NAN,NAN,1011.9,-0.065,-0.081,108,2.2,1.2,
7/01/2020 10:00,NAN,NAN,NAN,1011.8,-0.05,-0.063,129,3.4,1.8,
7/01/2020 11:00,NAN,NAN,NAN,1011.4,-0.065,-0.08,85,3.3,0.9,
7/01/2020 12:00,NAN,NAN,NAN,1011.1,-0.072,-0.09,94,3.6,1.1,
7/01/2020 13:00,NAN,NAN,NAN,1010.1,-0.06,-0.082,128,3.9,1.3,
7/01/2020 14:00,NAN,NAN,NAN,1009.5,-0.054,-0.086,115,3.8,1.9,
7/01/2020 15:00,NAN,NAN,NAN,1009.8,-0.054,-0.091,140,3.1,2.1,
7/01/2020 16:00,NAN,NAN,NAN,1010.4,-0.062,-0.095,121,3.9,1.5,
7/01/2020 17:00,NAN,NAN,NAN,1010.7,-0.086,-0.114,106,3.2,1.2,
7/01/2020 18:00,NAN,NAN,NAN,1011.5,-0.102,-0.127,93,2.2,0.6,
7/01/2020 19:00,NAN,NAN,NAN,1012,-0.113,-0.13,143,2.5,1.1,
7/01/2020 20:00,NAN,NAN,NAN,1012.2,-0.107,-0.12,80,2.8,0.7,
7/01/2020 21:00,NAN,NAN,NAN,1012.5,-0.106,-0.116,111,4.5,1.1,
7/01/2020 22:00,NAN,NAN,NAN,1011.8,-0.098,-0.107,338,4.1,2.1,
7/01/2020 23:00,NAN,NAN,NAN,1011.7,-0.084,-0.098,76,9.2,2.6,
8/01/2020 0:00,NAN,NAN,NAN,1010.9,-0.077,-0.093,126,8.6,2.4,
8/01/2020 1:00,NAN,NAN,NAN,1010.2,-0.072,-0.096,99,5.2,1.6,
8/01/2020 2:00,NAN,NAN,NAN,1009.9,-0.065,-0.096,8,4.2,0.6,
8/01/2020 3:00,NAN,NAN,NAN,1010.2,-0.074,-0.108,126,5.2,1.5,
8/01/2020 4:00,NAN,NAN,NAN,1011.2,-0.059,-0.088,91,5,1.7,
8/01/2020 5:00,NAN,NAN,NAN,1011.7,-0.053,-0.073,117,5.7,2.9,
8/01/2020 6:00,NAN,NAN,NAN,1012.3,-0.058,-0.073,100,8.1,2.6,
8/01/2020 7:00,NAN,NAN,NAN,1013.1,-0.07,-0.078,104,8.2,2,
8/01/2020 8:00,NAN,NAN,NAN,1013,-0.072,-0.074,62,8.1,0.9,
8/01/2020 9:00,NAN,NAN,NAN,1012.5,-0.075,-0.077,73,4,1.3,
8/01/2020 10:00,NAN,NAN,NAN,1011.9,-0.072,-0.081,31,4.5,1.5,
8/01/2020 11:00,NAN,NAN,NAN,1012,-0.067,-0.079,15,3.2,0.4,
8/01/2020 12:00,NAN,NAN,NAN,1010.5,-0.056,-0.07,80,3.5,1.1,
8/01/2020 13:00,NAN,NAN,NAN,1010.6,-0.062,-0.09,106,3.1,0.5,
8/01/2020 14:00,NAN,NAN,NAN,1011.1,-0.065,-0.091,148,3.3,2.4,
8/01/2020 15:00,NAN,NAN,NAN,1011,-0.071,-0.092,129,3.3,1.7,
8/01/2020 16:00,NAN,NAN,NAN,1011.4,-0.066,-0.088,120,2.5,1.3,
8/01/2020 17:00,NAN,NAN,NAN,1012.3,-0.062,-0.08,128,2.5,0.8,
8/01/2020 18:00,NAN,NAN,NAN,1012.8,-0.058,-0.067,111,2.4,0.7,
8/01/2020 19:00,NAN,NAN,NAN,1013.2,-0.068,-0.072,141,5.7,2.2,
8/01/2020 20:00,NAN,NAN,NAN,1013.4,-0.07,-0.071,145,5.6,2.3,
